동,2019년 11월 1주,2019년 11월 2주,2019년 11월 3주,2019년 11월 4주,2019년 12월 1주,2019년 12월 2주,2019년 12월 3주,2019년 12월 4주,2020년 01월 1주,2020년 01월 2주,2020년 01월 3주,2020년 01월 4주,2020년 01월 5주,2020년 02월 1주,2020년 02월 2주,2020년 02월 3주,2020년 02월 4주,2020년 03월 1주,2020년 03월 2주,2020년 03월 3주,2020년 03월 4주,2020년 04월 1주,2020년 04월 2주,2020년 04월 3주,2020년 04월 4주,2020년 04월 5주,2020년 05월 1주,2020년 05월 2주,2020년 05월 3주,2020년 05월 4주,2020년 06월 1주,2020년 06월 2주,2020년 06월 3주,2020년 06월 4주,2020년 07월 1주,2020년 07월 2주,2020년 07월 3주,2020년 07월 4주,2020년 07월 5주,2020년 08월 1주,2020년 08월 2주,2020년 08월 3주,2020년 08월 4주,2020년 09월 1주,2020년 09월 2주,2020년 09월 3주,2020년 09월 4주,2020년 09월 5주,2020년 10월 1주,2020년 10월 2주,2020년 10월 3주,2020년 10월 4주
각화동,1574.0,1574.0,1574.0,1574.0,1574.0,1579.0,1584.0,1584.0,1591.855,1594.0,1594.0,1594.0,1594.0,1587.5749999999998,1576.1399999999999,1569.0,1549.0,1519.0,1517.5700000000002,1499.0,1465.43,1412.9250000000002,1378.5,1354.215,1324.93,1298.5,1298.5,1298.5,1298.5,1311.3600000000001,1325.645,1356.3600000000001,1378.5,1394.9299999999998,1404.2150000000001,1408.5,1408.5,1408.5,1408.5,1405.645,1403.5,1403.5,1403.5,1403.5,1403.5,1394.9299999999998,1388.5,1388.5,1388.5,1388.5,1388.5,1388.5
광산동,1519.0,1519.0,1519.0,1519.0,1519.0,1530.43,1539.0,1539.0,1559.0,1561.86,1579.0,1579.0,1579.0,1579.0,1549.0,1549.0,1549.0,1519.0,1513.29,1479.0,1449.0,1403.29,1399.0,1349.0,1309.0,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1279.0,1293.29,1329.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1359.0,1339.0,1339.0,1339.0,1339.0,1339.0,1339.0
광천동,1531.4299999999998,1540.0,1535.7150000000001,1530.0,1530.7150000000001,1535.0,1535.0,1540.0,1554.285,1561.0,1567.0,1567.0,1559.145,1553.0700000000002,1533.0700000000002,1523.0700000000002,1514.5,1512.355,1498.7849999999999,1485.4299999999998,1461.4299999999998,1417.9299999999998,1357.0700000000002,1332.0749999999998,1311.355,1299.9299999999998,1293.2150000000001,1277.7849999999999,1277.7849999999999,1283.5,1290.645,1304.8600000000001,1321.785,1335.0700000000002,1344.2150000000001,1350.145,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1343.145,1342.0,1340.5700000000002,1332.0,1333.4299999999998,1329.645,1313.645,1311.5,1306.855
내남동,1559.0,1559.0,1559.0,1559.0,1516.14,1520.43,1539.0,1544.71,1564.71,1579.0,1579.0,1579.0,1579.0,1557.57,1531.86,1519.0,1519.0,1482.43,1457.57,1431.57,1403.57,1368.71,1337.0,1300.43,1268.43,1247.86,1245.0,1223.57,1219.29,1250.0,1251.43,1286.14,1312.14,1340.43,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1349.0,1342.14,1325.0,1325.0,1325.0,1325.0,1325.0,1325.0
농성동,1486.3333333333333,1492.7133333333334,1494.3333333333333,1495.2866666666666,1498.7133333333334,1509.2866666666669,1517.38,1524.0466666666669,1538.3300000000002,1541.0,1551.6666666666667,1547.1933333333334,1540.43,1530.5233333333333,1520.8133333333333,1505.6666666666667,1497.57,1486.9566666666667,1470.7133333333334,1450.8100000000002,1408.7133333333334,1374.3366666666668,1341.2866666666666,1314.1933333333334,1282.8099999999997,1263.4799999999998,1247.4766666666667,1239.0,1235.6666666666667,1238.3333333333333,1249.7633333333333,1285.4766666666667,1312.1433333333334,1334.0466666666669,1348.3333333333333,1345.4766666666667,1341.6666666666667,1330.2366666666667,1323.0,1323.0,1323.0,1323.0,1323.0,1323.0,1320.62,1313.9533333333331,1313.0,1301.0,1289.0,1289.0,1288.0466666666669,1284.9033333333334
대촌동,1498.0,1498.0,1498.0,1499.43,1498.0,1509.43,1518.0,1534.67,1538.0,1542.29,1548.0,1548.0,1548.0,1530.86,1516.57,1508.0,1495.14,1478.0,1458.0,1435.14,1392.29,1366.57,1332.29,1300.86,1272.29,1248.0,1238.0,1223.71,1218.0,1218.0,1218.0,1260.86,1286.57,1335.14,1338.0,1338.0,1338.0,1338.0,1338.0,1338.0,1338.0,1320.86,1318.0,1318.0,1318.0,1300.86,1298.0,1298.0,1298.0,1298.0,1298.0,1289.43
덕림동,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0,1568.57,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1580.0,1487.14,1450.0,1414.29,1400.0,1373.33,1360.0,1360.0,1300.0,1290.0,1290.0,1290.0,1367.14,1380.0,1388.57,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0,1412.86,1430.0
도덕동,1499.0,1499.0,1510.43,1519.0,1527.57,1529.0,1529.0,1527.57,1533.29,1539.0,1539.0,1539.0,1539.0,1533.29,1517.57,1499.0,1493.29,1483.29,1454.71,1436.14,1380.43,1357.57,1321.86,1299.0,1281.86,1257.57,1253.29,1239.0,1239.0,1239.0,1247.57,1304.71,1299.0,1324.71,1330.43,1329.0,1329.0,1329.0,1329.0,1329.0,1330.43,1330.43,1329.0,1329.0,1316.14,1306.14,1297.57,1290.29,1286.14,1279.0,1279.0,1279.0
도산동,1489.0,1489.0,1499.0,1499.0,1507.57,1509.0,1519.0,1519.0,1527.57,1540.43,1549.0,1549.0,1543.29,1534.71,1517.57,1504.71,1496.14,1480.43,1460.43,1421.86,1387.57,1354.71,1307.57,1293.29,1253.29,1239.0,1221.86,1219.0,1219.0,1227.57,1239.0,1263.29,1296.14,1309.0,1317.57,1321.86,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1329.0,1327.57,1316.14,1299.0,1299.0,1294.71,1289.0,1289.0,1289.0
도천동,1521.257,1521.2,1519.6290000000001,1520.771,1524.459,1527.5,1529.157,1538.586,1544.971,1551.815,1557.587,1557.3,1557.3,1556.586,1556.443,1550.986,1540.2,1523.8000000000002,1508.4140000000002,1486.9140000000002,1451.7559999999999,1416.845,1376.758,1338.9420000000002,1311.816,1297.9160000000002,1285.271,1268.042,1262.042,1265.971,1270.5430000000001,1297.815,1317.843,1337.602,1349.455,1354.157,1352.429,1352.6,1352.6,1351.886,1352.6,1352.6,1354.886,1355.6,1355.6,1355.143,1343.9299999999998,1339.9,1337.757,1337.4,1335.4,1334.971
