"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 주간(20200503~20201031)"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 05월 1주","현대오일뱅크","셀프","0.00","1243.00","1043.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 05월 2주","현대오일뱅크","셀프","0.00","1243.00","1043.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 05월 3주","현대오일뱅크","셀프","0.00","1231.57","1031.57","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 05월 4주","현대오일뱅크","셀프","0.00","1227.29","1027.29","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 06월 1주","현대오일뱅크","셀프","0.00","1253.00","1053.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 06월 2주","현대오일뱅크","셀프","0.00","1287.29","1087.29","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 06월 3주","현대오일뱅크","셀프","0.00","1293.00","1093.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 06월 4주","현대오일뱅크","셀프","0.00","1293.00","1093.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 07월 1주","현대오일뱅크","셀프","0.00","1318.71","1118.71","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 07월 2주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 07월 3주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 07월 4주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 07월 5주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 08월 1주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 08월 2주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 08월 3주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 08월 4주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 09월 1주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 09월 2주","현대오일뱅크","셀프","0.00","1323.00","1123.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 09월 3주","현대오일뱅크","셀프","0.00","1314.43","1114.43","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 09월 4주","현대오일뱅크","셀프","0.00","1293.00","1093.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 09월 5주","현대오일뱅크","셀프","0.00","1290.14","1090.14","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 10월 1주","현대오일뱅크","셀프","0.00","1273.00","1073.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 10월 2주","현대오일뱅크","셀프","0.00","1273.00","1073.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 10월 3주","현대오일뱅크","셀프","0.00","1273.00","1073.00","0.00"
"A0020701","광주 광산구","(유)모우리주유소","광주 광산구 소촌로 68 (소촌동)","2020년 10월 4주","현대오일뱅크","셀프","0.00","1273.00","1073.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 05월 1주","현대오일뱅크","셀프","0.00","1251.71","1061.86","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 05월 2주","현대오일뱅크","셀프","0.00","1240.43","1049.57","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 05월 3주","현대오일뱅크","셀프","0.00","1229.00","1037.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 05월 4주","현대오일뱅크","셀프","0.00","1229.00","1037.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 06월 1주","현대오일뱅크","셀프","0.00","1232.14","1039.29","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 06월 2주","현대오일뱅크","셀프","0.00","1263.43","1066.71","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 06월 3주","현대오일뱅크","셀프","0.00","1289.00","1098.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 06월 4주","현대오일뱅크","셀프","0.00","1303.14","1109.14","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 07월 1주","현대오일뱅크","셀프","0.00","1322.00","1124.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 07월 2주","현대오일뱅크","셀프","0.00","1322.00","1129.71","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 07월 3주","현대오일뱅크","셀프","0.00","1322.00","1134.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 07월 4주","현대오일뱅크","셀프","0.00","1322.00","1134.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 07월 5주","현대오일뱅크","셀프","0.00","1322.00","1134.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 08월 1주","현대오일뱅크","셀프","0.00","1322.00","1138.29","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 08월 2주","현대오일뱅크","셀프","0.00","1314.29","1121.57","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 08월 3주","현대오일뱅크","셀프","0.00","1302.57","1105.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 08월 4주","현대오일뱅크","셀프","0.00","1303.29","1105.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 09월 1주","현대오일뱅크","셀프","0.00","1309.00","1105.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 09월 2주","현대오일뱅크","셀프","0.00","1312.43","1107.29","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 09월 3주","현대오일뱅크","셀프","0.00","1309.00","1105.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 09월 4주","현대오일뱅크","셀프","0.00","1294.00","1095.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 09월 5주","현대오일뱅크","셀프","0.00","1294.00","1095.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 10월 1주","현대오일뱅크","셀프","0.00","1294.00","1095.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 10월 2주","현대오일뱅크","셀프","0.00","1294.00","1095.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 10월 3주","현대오일뱅크","셀프","0.00","1294.00","1095.00","0.00"
"A0020673","광주 광산구","(유)학곡 수완현대주유소","광주 광산구 임방울대로 472 (수완동)","2020년 10월 4주","현대오일뱅크","셀프","0.00","1294.00","1095.00","0.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 05월 1주","GS칼텍스","일반","1659.00","1279.00","1089.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 05월 2주","GS칼텍스","일반","1650.43","1268.71","1075.86","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 05월 3주","GS칼텍스","일반","1639.00","1253.00","1053.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 05월 4주","GS칼텍스","일반","1639.00","1253.00","1053.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 06월 1주","GS칼텍스","일반","1639.00","1253.00","1053.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 06월 2주","GS칼텍스","일반","1639.00","1271.57","1071.57","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 06월 3주","GS칼텍스","일반","1639.00","1290.43","1090.43","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 06월 4주","GS칼텍스","일반","1639.00","1319.00","1119.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 07월 1주","GS칼텍스","일반","1639.00","1350.43","1150.43","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 07월 2주","GS칼텍스","일반","1639.00","1359.00","1159.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 07월 3주","GS칼텍스","일반","1639.00","1339.00","1139.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 07월 4주","GS칼텍스","일반","1639.00","1339.00","1139.00","1000.00"
"A0020491","광주 광산구","(유)효창주유소","광주 광산구 사암로 744 (도천동)","2020년 07월 5주","GS칼텍스","일반","1639.00","1339.00","1139.00","1000.00"
