번호,상호,주소,기간,휘발유,동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 11월 1주,1527.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 11월 2주,1527.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 11월 3주,1527.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 11월 4주,1527.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 12월 1주,1535.57,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 12월 2주,1537.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 12월 3주,1537.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2019년 12월 4주,1537.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 01월 1주,1559.86,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 01월 2주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 01월 3주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 01월 4주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 01월 5주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 02월 1주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 02월 2주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 02월 3주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 02월 4주,1577.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 03월 1주,1525.57,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 03월 2주,1517.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 03월 3주,1474.14,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 03월 4주,1399.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 04월 1주,1399.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 04월 2주,1370.43,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 04월 3주,1340.29,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 04월 4주,1288.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 04월 5주,1288.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 05월 1주,1288.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 05월 2주,1288.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 05월 3주,1288.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 05월 4주,1288.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 06월 1주,1302.29,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 06월 2주,1338.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 06월 3주,1338.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 06월 4주,1338.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 07월 1주,1363.71,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 07월 2주,1383.0,월전동
A0020305,동일주유소,광주 광산구  동곡로 450 (월전동),2020년 07월 3주,1383.0,월전동
